date,open,high,low,close,volume,RSI,SMA,upper,lower,EMA,MACD,signal,histogram
2024-09-21 14:00:00,2571.04,2575.75,2562.81,2567.78,1897.3889,73.8832,2485.509,2719.7877,2251.2303,2549.4998,60.3105,58.0537,2.2568
2024-09-21 15:00:00,2567.79,2568.28,2550.89,2560.36,1205.8699,71.2449,2499.8195,2714.8855,2284.7535,2551.6718,57.8223,58.0074,-0.1851
2024-09-21 16:00:00,2560.43,2567.5,2556.73,2560.49,614.3583,71.2643,2513.32,2706.9586,2319.6814,2553.4355,55.2243,57.4508,-2.2265
2024-09-21 17:00:00,2560.49,2573.28,2560.43,2570.4,1574.323,72.7694,2527.6455,2691.3495,2363.9415,2556.8284,53.3501,56.6307,-3.2806
2024-09-21 18:00:00,2570.4,2572.66,2567.19,2570.39,811.046,72.7653,2541.4045,2666.3122,2416.4968,2559.5407,51.2729,55.5591,-4.2863
2024-09-21 19:00:00,2570.4,2578.99,2569.28,2572.33,774.7418,73.0853,2556.3755,2578.2578,2534.4932,2562.0986,49.2159,54.2905,-5.0746
2024-09-21 20:00:00,2572.18,2572.5,2565.12,2566.3,782.8744,70.3192,2556.263,2577.9157,2534.6103,2562.9388,46.5624,52.7448,-6.1825
2024-09-21 21:00:00,2566.29,2567.68,2560.56,2561.92,543.9209,68.2972,2557.151,2578.1936,2536.1084,2562.7351,43.6034,50.9166,-7.3132
2024-09-21 22:00:00,2562.04,2576.57,2560.47,2576.03,1184.5634,71.1729,2558.8325,2580.2625,2537.4025,2565.3941,41.9138,49.116,-7.2022
2024-09-21 23:00:00,2575.86,2623.26,2573.65,2613.16,10338.5961,77.0679,2562.2845,2593.2455,2531.3235,2574.9472,43.0743,47.9077,-4.8334
2024-09-22 00:00:00,2612.77,2632.92,2605.07,2620.76,3010.0904,78.057,2566.4365,2604.5524,2528.3206,2584.1098,44.0989,47.1459,-3.047
2024-09-24 00:00:00,2646.93,2651.38,2622.35,2627.87,6643.6614,78.9708,2570.5835,2615.82,2525.347,2592.8618,44.9663,46.71,-1.7437
2024-09-24 01:00:00,2627.91,2643.43,2616.29,2627.3,3676.1724,78.6879,2574.548,2624.7965,2524.2995,2599.7495,45.088,46.3856,-1.2976
2024-09-24 02:00:00,2626.93,2630.32,2609.04,2621.04,4371.5047,75.4892,2577.796,2631.1514,2524.4406,2604.0076,44.1701,45.9425,-1.7724
2024-09-24 03:00:00,2621.32,2629.64,2616.92,2626.94,2875.6402,76.4605,2581.6665,2637.4349,2525.8981,2608.5941,43.4183,45.4377,-2.0194
2024-09-24 04:00:00,2626.98,2627.37,2617.84,2622.39,1801.5083,74.0244,2585.129,2641.9716,2528.2864,2611.3532,41.9715,44.7444,-2.7729
2024-09-24 05:00:00,2622.37,2633.29,2621.74,2631.91,602.8228,75.7643,2589.374,2646.8726,2531.8754,2615.4646,41.1191,44.0194,-2.9003
2024-09-24 06:00:00,2631.53,2647.08,2631.49,2640.02,1317.2058,77.1673,2593.529,2653.0217,2534.0363,2620.3757,40.6296,43.3414,-2.7118
2024-09-24 07:00:00,2640.17,2649.02,2637.17,2646.8,1612.1338,78.2984,2597.7555,2659.7237,2535.7873,2625.6605,40.324,42.7379,-2.414
2024-09-24 08:00:00,2646.85,2667.53,2642.87,2660.8,3997.0068,80.4519,2602.2495,2668.6586,2535.8404,2632.6884,40.7418,42.3387,-1.5969
2024-09-24 09:00:00,2661.07,2662.78,2643.68,2645.0,946.0254,71.7934,2606.1105,2673.0316,2539.1894,2635.1507,39.3444,41.7398,-2.3954
2024-09-24 10:00:00,2645.05,2652.2,2642.64,2647.21,754.5026,72.2434,2610.453,2676.1966,2544.7094,2637.5626,37.9775,40.9874,-3.0098
2024-09-24 11:00:00,2647.45,2648.26,2634.29,2636.84,2221.4596,66.854,2614.2705,2676.7518,2551.7892,2637.4181,35.6466,39.9192,-4.2726
2024-09-24 12:00:00,2636.93,2646.25,2630.95,2632.76,2047.4967,64.8056,2617.3885,2676.9576,2557.8194,2636.4865,33.0887,38.5531,-5.4644
2024-09-24 13:00:00,2632.7,2646.31,2629.61,2634.48,3972.643,65.2884,2620.593,2676.4862,2564.6998,2636.0852,30.8447,37.0114,-6.1667
2024-09-24 14:00:00,2634.21,2634.52,2591.67,2612.91,14877.8263,55.0822,2622.622,2674.1344,2571.1096,2631.4501,27.0144,35.012,-7.9976
2024-09-24 15:00:00,2612.91,2618.84,2605.07,2612.32,5086.1503,54.8297,2624.923,2669.8579,2579.9881,2627.6241,23.6586,32.7413,-9.0827
2024-09-24 16:00:00,2612.3,2633.98,2610.95,2626.53,4308.9079,59.6294,2628.1535,2662.5634,2593.7436,2627.4053,21.8933,30.5717,-8.6784
