date,open,high,low,close,volume
2024-09-13 08:00:00,2349.03,2350.98,2342.57,2342.77,881.031
2024-09-13 09:00:00,2342.76,2357.87,2341.54,2352.26,1231.6278
2024-09-13 10:00:00,2352.22,2371.47,2351.42,2371.33,1475.7378
2024-09-13 11:00:00,2371.41,2376.48,2350.56,2354.26,1947.2985
2024-09-13 12:00:00,2354.36,2360.35,2342.08,2352,2376.3379
2024-09-13 13:00:00,2352.03,2360.76,2345.36,2355.29,1759.5997
2024-09-13 14:00:00,2355.28,2371.37,2345.08,2366.94,4339.9885
2024-09-13 15:00:00,2366.82,2413,2363.48,2408.43,13702.9128
2024-09-13 16:00:00,2408.35,2419.86,2396.29,2407.44,5834.4312
2024-09-13 17:00:00,2407.55,2428.56,2406.99,2411.03,6619.6861
2024-09-13 18:00:00,2411.03,2429.35,2406.58,2422.44,8065.659
2024-09-13 19:00:00,2422.12,2429.53,2412.56,2422.98,6715.3117
2024-09-13 20:00:00,2422.18,2427.26,2413.51,2423.21,5495.776
2024-09-13 21:00:00,2423.44,2466.49,2422.84,2448,8986.1615
2024-09-13 22:00:00,2448,2459.44,2443.89,2448.26,3171.8242
2024-09-13 23:00:00,2448.07,2449.29,2440,2440.96,1591.4975
2024-09-14 00:00:00,2440.99,2442.56,2427.95,2430.06,1560.0449
2024-09-14 01:00:00,2430.05,2437.48,2423.82,2425.11,2549.9778
2024-09-14 02:00:00,2425.21,2431.38,2424.95,2426.78,1271.9509
2024-09-14 02:00:00,2425.21,2431.38,2424.95,2426.78,1271.9509
2024-09-14 03:00:00,2426.73,2436.46,2426.67,2434.01,711.9149
2024-09-14 04:00:00,2434.01,2434.88,2426.79,2427.25,759.5511
2024-09-14 05:00:00,2427.17,2428.23,2416.01,2416.1,852.7168
2024-09-14 06:00:00,2416.05,2422.76,2414.95,2420.37,770.5558
2024-09-14 07:00:00,2420.36,2424.19,2417.5,2421.26,894.6277
2024-09-14 08:00:00,2421.25,2422.88,2412.89,2416.77,1053.9983
2024-09-14 09:00:00,2416.79,2421.47,2415.1,2421.35,810.1851
2024-09-14 10:00:00,2421.04,2421.21,2412.07,2414.86,766.9561
2024-09-14 11:00:00,2414.45,2418.4,2409.59,2417.91,1257.5489
